Rank,Popularity,Score,Episodes
1241,1837,7.64,26
1242,1166,7.64,12
1243,2694,7.64,3
1244,2491,7.64,51
1245,8431,7.64,1
1246,5048,7.64,13
1247,1890,7.64,12
1248,3657,7.64,1
1249,5629,7.64,7
1250,882,7.64,12
1251,1529,7.64,1
1252,7867,7.64,28
1253,1846,7.64,23
1254,5558,7.64,45
1255,1786,7.63,100
1256,545,7.63,12
1257,531,7.63,50
1258,1101,7.63,24
1259,1843,7.63,1
1260,916,7.63,24
1261,3820,7.63,1
1261,3820,7.63,1
1262,1057,7.63,51
1263,2602,7.63,12
1264,3232,7.63,1
1265,1635,7.63,11
1266,2283,7.63,2
1267,2410,7.63,13
1268,2980,7.63,1
1269,4837,7.63,1
1270,1452,7.63,13
1271,1775,7.63,26
1272,4256,7.63,1
1273,5844,7.63,1
1274,3687,7.63,1
1275,2633,7.63,26
1276,2049,7.63,1
1277,5237,7.63,1
1278,2404,7.63,1
1279,227,7.63,12
1280,822,7.63,1
1281,145,7.63,12
1282,1746,7.63,12
1283,7171,7.63,1
1284,1571,7.63,25
